Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
careerera,data scientist | python | machine learning | data science training,['noida'],3,8,algorithms,python,communication skills,machine learning,it skills,data science,data science,machine learning
intelizest consulting,data scientist - aws/python/big data tools,['chennai'],7,12,data science,hive,sas,data science,scala,hdfs,big data,spark
intelizest consulting,data scientist - aws/ python/ big data tools,['chennai'],7,12,communication skills,scala,hdfs,learning,sql,python,machine learning,aws
ab2 consulting pvt ltd,cloud data scientist,['bangalore'],15,18,anomaly detection,machine learning,r,algorithms,artificial neural networks,artificial intelligence,machine learning,statistics
empower solutions,data scientist- 7-15 yrs (immediate joiner),['pune'],7,12,linux,object oriented programming,agile,sql,python,verbal,communication skills,c#
niit ltd.,data scientist- niit ltd.,['bangalore'],3,6,r,power bi,data science,data mining,tableau,machine learning,statistics,sql
blew minds consulting llp,urgent hiring for data scientist,"['delhi', 'gurgaon']",4,6,it skills,python,software development,testing,machine learning,node.js,tensorflow,machine learning
latentview analytics private limited,data scientist,"['chennai', 'bangalore']",3,8,machine learning,machine learning,natural language processing,statistics,text mining,machine learning,sql,regression analysis
latentview analytics private limited,data scientist,"['chennai', 'bangalore']",3,8,machine learning,machine learning,natural language processing,statistics,text mining,machine learning,sql,regression analysis
latentview analytics private limited,data scientist,"['chennai', 'bangalore']",3,8,machine learning,machine learning,natural language processing,statistics,text mining,machine learning,sql,regression analysis
eton solutions and technologies india llp,eton solutions- (a fintech company)-data scientist - immediate joiner,['bangalore'],7,12,data science,artificial intelligence,machine learning,bpo,travel,pytorch,tensorflow,nlp
latentview analytics private limited,data scientist,"['chennai', 'bangalore']",3,8,machine learning,machine learning,natural language processing,statistics,text mining,machine learning,sql,regression analysis
latentview analytics private limited,data scientist,"['chennai', 'bangalore']",3,8,machine learning,machine learning,natural language processing,statistics,text mining,machine learning,sql,regression analysis
latentview analytics private limited,data scientist,"['chennai', 'bangalore']",3,8,machine learning,machine learning,natural language processing,statistics,text mining,machine learning,sql,regression analysis
black turtle india pvt ltd,data scientist - bfsi,"['chennai', 'bangalore', 'delhi', 'pune']",8,13,data science,data science,data management,risk modeling,machine learning,machine learning,,
eton solutions and technologies india llp,eton solutions- (a fintech company)-data scientist - immediate joiner,['bangalore'],7,12,data science,artificial intelligence,machine learning,bpo,travel,pytorch,tensorflow,nlp
times global,data scientist,['mumbai'],4,7,content marketing,customer segmentation,machine learning,tableau,statistics,data analysis,barc,sql
d4insight tech,data scientist,"['visakhapatnam', 'ahmedabad', 'mumbai', 'kolkata', 'bangalore', 'pune', 'chennai', 'delhi', 'hyderabad']",3,7,data science,recommender systems,pyspark,r,nlp,xgboost,artificial intelligence,spark
shell india markets private limited,associate data scientist - crm & loyalty,['bangalore'],3,5,direct marketing,multivariate analysis,r,data science,factor analysis,customer analytics,time series,market basket analysis
foghorn systems pvt ltd,data scientist,['pune'],3,8,it skills,python,data science,tensorflow,cnn,scipy,lstm,xgboost
infovision labs india pvt. ltd,excellent opportunity for data scientist,['pune'],6,10,natural language processing,machine learning,python,it skills,tableau,business intelligence,neural network,data analysis
blue yonder,data scientist machine learning (commerce bu),['bangalore'],4,8,supply chain,computer science,retail,sales,data science,machine learning,big data,monitoring
ab2 consulting pvt ltd,cloud data scientist,['bangalore'],15,18,anomaly detection,machine learning,r,algorithms,artificial neural networks,artificial intelligence,machine learning,statistics
shell india markets private limited,associate data scientist - retail,['chennai'],3,7,data science,multivariate analysis,factor analysis,marketing mix modeling,natural language processing,reinforcement learning,neural networks,market basket analysis
skillventory,fullstack data scientist with leading investment bank,['mumbai'],8,13,tensorflow,data science,big data,machine learning,python,,,
hyrezy talent solutions,data scientist - analytics & insights team - food services firm - iit/,['noida'],3,6,r,database programming,data analysis,data mining,data analysis,data analysis,machine learning,statistics
blew minds consulting llp,urgent hiring for data scientist,"['delhi', 'gurgaon']",4,6,it skills,python,software development,testing,machine learning,node.js,tensorflow,machine learning
huquo consulting pvt. ltd,savp - data scientist - data science team - insurance domain,['gurgaon'],8,13,data science,artificial intelligence,data management,machine learning,data analysis,machine learning,statistics,data analysis
sociolla,data scientist,['gurgaon'],3,8,artificial intelligence,machine learning,python,numpy,sql,panda,data science,r
boston consulting group,gamma lead data scientist,"['mumbai', 'chennai', 'new delhi', 'bangalore']",7,12,data analysis,operations research,data science,data management,business analysis,consulting,management consulting,business strategy
third eye consulting services & solutions,data scientist,['kolkata'],4,5,it skills,java,python,data science,artificial intelligence,cloud,work from home,computer science
analytos,data scientist,['pan india'],2,4,text mining,deep learning,nosql,machine learning,data science,data research,machine learning,manager technology
analytos,junior data scientist,['pan india'],0,2,text mining,deep learning,nosql,machine learning,data science,data research,machine learning,manager technology
tvs motor company,principal - data scientist,['hosur'],6,11,development management,tqm,project management,machine learning,middle level management,data analysis,manager quality control,scientist 1
skillsoft,data scientist,['hyderabad'],1,3,process design,machine learning,npv,agile,machine learning,continuous improvement,business solutions,talent management
huquo consulting pvt. ltd,associate vice president - data scientist - iit/nit/iim/xlri,['gurgaon'],8,12,data science,nlp,data science,big data,machine learning,data analysis,python,
huquo consulting pvt. ltd,assistant vice president - data scientist - kpo,['pan india'],11,17,data science,machine learning,business intelligence,data science,data management,data analysis,data mining,tableau
huquo consulting pvt. ltd,data scientist - python/power bi/sql,['mumbai'],1,5,r,power bi,statistical modeling,data mining,tableau,text mining,statistics,python
venrichu,senior data scientist,['bangalore'],5,8,machine learning,data science,data science,statistical modeling,data analysis,machine learning,statistics,data analysis
huquo consulting pvt. ltd,data scientist - process excellence & analytics,['noida'],2,4,data science,machine learning,data science,process excellence,data analysis,statistics,machine learning,data analysis
search advisers services ( guj ) pvt. ltd.,data scientist - contract role,"['ahmedabad', 'gandhinagar']",2,7,data transformation,data structures,postgresql,hadoop,big data,data mining,machine learning,sql
intrado ec india private limited,sr. data scientist,['bangalore'],5,8,machine learning,data science,financial analysis,machine learning,data analysis,predictive analytics,,
super india tech mark,data scientist,['mumbai'],0,1,anomaly detection,machine learning,deep learning,data science,machine learning,r,scipy,artificial intelligence
zeta inc.,data scientist,['bangalore'],2,5,data analysis,backend,prototype,bfsi,soc,data analysis,iso 27001,machine learning
inspiration manpower consultancy pvt. ltd.,data scientist/tl/ manager - bangalore/ mumbai - us shift,"['bangalore', 'navi mumbai']",6,11,data science,vba,qlik sense,us shift,data science,google cloud platform,predictive modelling,tableau
search advisers services ( guj ) pvt. ltd.,data scientist - contract role,"['ahmedabad', 'gandhinagar']",2,7,data transformation,data structures,postgresql,hadoop,big data,data mining,machine learning,sql
intrado ec india private limited,sr. data scientist,['bangalore'],5,8,machine learning,data science,financial analysis,machine learning,data analysis,predictive analytics,,
becton dickinson india pvt. ltd,data scientist/ analyst,['bangalore'],5,10,r,hive,hadoop,data analysis,machine learning,python,predictive analytics,
microsoft corporation,senior data scientist,['hyderabad'],7,12,sql,hadoop,java,c#,cosmos,mapreduce,data,machine / deep learning
jcpenny,data scientist,['bangalore'],4,9,supply chain,microstrategy,data analysis,social media,machine learning,sez,customer service,operations
onebanc technologies pvt ltd,lead data scientist,"['delhi', 'gurgaon']",5,10,mysql,programming,java,r,c,algorithms,data structures,web technologies
shell india markets private limited,associate data scientist - retail,['chennai'],3,7,data science,multivariate analysis,factor analysis,marketing mix modeling,natural language processing,reinforcement learning,neural networks,market basket analysis
fractal analytics,data scientist,"['mumbai', 'new delhi', 'bangalore']",3,7,supply chain management,linux,machine learning,rdbms,bfsi,consulting,data structures,healthcare
exponentia datalabs pvt. ltd,data scientist,['mumbai'],5,10,machine learning,machine learning,nlp,artificial neural networks,artificial intelligence,time series,statistical modeling,machine learning
"people first consultants pvt ltd.,",data scientist opening for a startup it firm,['chennai'],3,5,it skills,python,data science,cloud,aws,microsoft azure,tensorflow,pandas
msg.ai,data scientist ii,['remote'],3,5,computer science,data analysis,artificial intelligence,machine learning,information retrieval,natural language processing,customer service,apache
quadratyx,data scientist,['hyderabad'],3,5,machine learning,it skills,data science,python,r,git,time series analysis,machine learning
talpro,data scientist - sas/ sql/ spss,"['delhi', 'new delhi', 'bangalore']",8,12,it skills,java,testing,product management,r,sas,data science,data management
zendrive inc,data scientist iii,['bangalore'],3,4,data analysis,prototype,data science,talent acquisition,data analysis,data collection,risk analytics,big data
qventus,data scientist,['remote'],3,7,computer science,data science,artificial intelligence,machine learning,healthcare,deployment,natural language processing,operations
krazy mantra hr solutions pvt. ltd,data scientist (wp-461),"['chennai', 'bangalore', 'pune', 'hyderabad']",5,10,data science,machine learning,it skills,python,big data,power bi,r,artificial intelligence
empower solutions,data scientist (immediate joiner),['pune'],3,8,it skills,java,python,testing,machine learning,c++,microsoft azure,artificial intelligence
